100597 building 3 1    The building is beautiful.
100597 building 6 1    The gift shop is reasonably priced.
100597 cleanliness 1 0    The hotel is clean.
100597 cleanliness 2 1    There is a stain on the carpet.
100597 cleanliness 5 0    The room was clean.
100597 food 6 1    The food was expensive.
100597 rooms 5 1    The rooms had balconies with a good view.
100597 rooms 15 1    The beds were comfortable.
1029276 building 1 1    The hotel needs a refurbishment.
1029276 building 3 1    The elevators take a long time to arrive.
1029276 cleanliness 3 1    Housekeeping did a poor job.
1029276 location 4 0    The location was convenient.
1029276 rooms 9 1    The hotel has a great atmosphere.
1029276 rooms 32 0    The rooms are clean.
1029276 service 18 0    The staff went above and beyond to make their stay enjoyable.
1113787 location 11 1    The view from the penthouse is great.
1113787 service 13 1    The bill had errors.
1113787 service 34 0    People found the staff to be helpful and accommodating.
112429 building 7 1    The furniture is comfortable.
112429 cleanliness 3 1    The shampoo and conditioner dispensers were not clean.
112429 location 15 1    The cost of parking was the only complaint.
1176198 building 5 1    The fire alarm has been going off.
1176198 food 3 1    The food has a great selection.
1176198 food 5 1    The food is good.
1176198 rooms 55 1    The rooms were spacious.
1176198 service 3 0    The staff were helpful.
1176198 service 27 0    The reviewers were happy with the service they received.
120274 building 8 1    The hotel shuttle bus was not necessary if you had a car.
120274 cleanliness 15 0    The room was clean.
120274 rooms 99 1    The rooms are comfortable.
120274 service 5 -1    The shuttle service did not run very often.
120274 service 19 1    There was a lack of internet access in rooms.
121241 cleanliness 3 1    The hotel smells musty.
121241 cleanliness 7 0    The hotel was clean.
121241 cleanliness 8 0    The hotel was unclean.
121241 cleanliness 11 0    The hotel was not well-maintained.
121241 rooms 104 0    The pool and hot tub were small.
121241 service 12 1    The rooms were not clean.
182002 cleanliness 11 0    The room was comfortable.
182002 service 18 1    The business center was lacking in amenities.
183092 food 6 -1    The reviewers appreciated the variety of food.
183092 location 12 1    The location is convenient for shopping.
183092 rooms 72 0    The rooms were modern.
183092 service 10 1    The concierges were knowledgeable.
183092 service 24 0    The reviewers thought the service was friendly and helpful.
185804 building 4 1    The elevator is scary.
185804 cleanliness 6 1    The hotel was clean.
185804 location 27 1    You can park on the island for more than three hours with a permit from the hotel.
185804 service 2 1    The staff was friendly.
185804 service 3 1    The staff was helpful.
