***** cleanliness : Sentiments for original sentences *****
A / C : + 0     - 2
thermostat : + 0     - 1
flourescent bulbs : + 1     - 0
pricing : + 1     - 0
housekeeping : + 1     - 1
fridge : + 1     - 0
shampoo and conditioner : + 0     - 1
concierge : + 1     - 1
heater : + 0     - 1
maids : + 0     - 1
soundproofing : + 0     - 1
decor : + 3     - 0
waiter : + 1     - 0
Wifi : + 1     - 0
housekeeper : + 0     - 1
sushi : + 2     - 0
drink selection : + 1     - 0
wifi : + 0     - 1
chocolate truffles : + 1     - 0
bed : + 1     - 0
burgandy : + 1     - 0
girl : + 0     - 1
bellman : + 1     - 0
toliet : + 0     - 1
fitness center : + 0     - 1
location : + 1     - 0
dishes : + 1     - 0
Wi - fi : + 0     - 1
***** cleanliness : Sentiments for raw summaries *****
room : + 0     - 1
housekeeping : + 0     - 1
shampoo : + 0     - 1
conditioner : + 0     - 1
maids : + 0     - 1
soundproofing : + 0     - 1
housekeeper : + 0     - 1
mattress : + 0     - 1
fitness center : + 0     - 1
***** cleanliness : Sentiments for final summary *****
